# data log file generated by Analog Flavor - Easy LV | HV																
# connected crate: WIENER MPOD - 4590036																
# connection: snmp://129.57.196.26:161:guru																
# modules:																
#   module0 : E08C0 - 736790 - slot 2																
Time	Vmeas(module0.Channel 0)	Imeas(module0.Channel 0)	Vmeas(module0.Channel 1)	Imeas(module0.Channel 1)	Vmeas(module0.Channel 2)	Imeas(module0.Channel 2)	Vmeas(module0.Channel 3)	Imeas(module0.Channel 3)	Vmeas(module0.Channel 4)	Imeas(module0.Channel 4)	Vmeas(module0.Channel 5)	Imeas(module0.Channel 5)	Vmeas(module0.Channel 6)	Imeas(module0.Channel 6)	Vmeas(module0.Channel 7)	Imeas(module0.Channel 7)
0.359	-1.19E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
0.866	-1.20E-01	3.73E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
1.362	-1.20E-01	3.74E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
1.862	-1.20E-01	3.74E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
2.363	-1.20E-01	3.74E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
2.863	-1.19E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
3.368	-1.19E-01	3.75E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
3.863	-1.20E-01	3.78E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
4.363	-1.19E-01	3.78E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
4.866	-1.19E-01	3.78E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00	-9.01E-01	0.00E+00	0.00E+00	0.00E+00	-3.74E+03	7.60E-04	-3.82E-01	0.00E+00	-3.74E+03	7.63E-04
